Chemical,Cycle,Dose,se,sd,mean,median,n
F53B,Light_1,0,2.022582340342966,15.66685544096306,14.618181818181817,6.95,60
F53B,Light_1,0.1,1.5131661234549618,11.720934392372607,16.854545454545455,11.9,60
F53B,Light_1,1,1.3870582107234977,10.744106700704728,11.156896551724138,8.350000000000001,60
F53B,Dark_1,0,0.3352599494667908,2.596912401870442,8.6466666666666665,8.55,60
F53B,Dark_1,0.1,0.6089244717315312,4.7167086762287385,11.891525423728813,11.1,60
F53B,Dark_1,1,0.404139634279429,3.1304521462131696,10.39090909090909,9.8,60
F53B,Light_2,0,2.324279781409195,18.003793770648855,15.638775510204082,9.1,60
F53B,Light_2,0.1,1.6076702915953702,12.452960531082581,14.073333333333334,10.3,60
F53B,Light_2,1,1.9673558848081292,15.239073155850084,16.82857142857143,10.7,60
F53B,Dark_2,0,0.5135490400024667,3.9779337587807206,9.493548387096775,8.8,60
F53B,Dark_2,0.1,0.36488070795053384,2.8263538104895796,10.4,10,60
F53B,Dark_2,1,0.36722363574965955,2.84450205118434,9.925454545454546,9.6,60
F53B,Light_3,0,1.8212862502753862,14.10762263198625,14.322000000000001,7.300000000000001,60
F53B,Light_3,0.1,1.4688194068806495,11.377426202870023,11.76271186440678,9.2,60
F53B,Light_3,1,1.9551329024553188,15.14439434166324,20.217241379310344,15.8,60
F53B,Dark_3,0,1.3496186239480865,10.45410090856462,12.0125,9.350000000000001,60
F53B,Dark_3,0.1,0.4024754973585671,3.1175617970525553,10.283928571428572,9.75,60
F53B,Dark_3,1,0.42812435127790477,3.3162369652103587,9.667272727272728,9.5,60
OBS,Light_1,0,2.022582340342966,15.66685544096306,14.618181818181817,6.95,60
OBS,Light_1,0.1,1.2163848446916297,9.422076492139555,10.52,7.55,60
OBS,Light_1,1,1.4239028107163356,11.0295037450446,11.350909090909092,8.3,60
OBS,Dark_1,0,0.3352599494667908,2.596912401870442,8.6466666666666665,8.55,60
OBS,Dark_1,0.1,0.4957142120593929,3.8397857755687212,10.533333333333333,9.45,60
OBS,Dark_1,1,0.7580560558031559,5.871876959234607,12.060975609756097,10.8,60
OBS,Light_2,0,2.324279781409195,18.003793770648855,15.638775510204082,9.1,60
OBS,Light_2,0.1,1.717188719917434,13.30128662907091,12.586666666666666,7.550000000000001,60
OBS,Light_2,1,1.411544383705242,10.933775781046029,14.583333333333334,10.7,60
OBS,Dark_2,0,0.5135490400024667,3.9779337587807206,9.493548387096775,8.8,60
OBS,Dark_2,0.1,0.3767411555764577,2.9182244427571167,9.77,9.25,60
OBS,Dark_2,1,0.27873407205942596,2.1590648382134696,9.351219512195122,8.8,60
OBS,Light_3,0,1.8212862502753862,14.10762263198625,14.322000000000001,7.300000000000001,60
OBS,Light_3,0.1,1.2131167932433233,9.396762274471875,10.986666666666666,8.7,60
OBS,Light_3,1,1.905401286831902,14.759174903484276,16.758490566037736,10,60
OBS,Dark_3,0,1.3496186239480865,10.45410090856462,12.0125,9.350000000000001,60
OBS,Dark_3,0.1,0.8082706728662276,6.260837710477525,10.713559322033898,9.4,60
OBS,Dark_3,1,0.39476159257942683,3.0578101475648753,9.704347826086957,9,60
PFOS,Light_1,0,2.022582340342966,15.66685544096306,14.618181818181817,6.95,60
PFOS,Light_1,0.1,2.0191493141782897,15.640263334637286,13.80925925925926,7.199999999999999,60
PFOS,Light_1,1,1.9005891023495498,14.721899882766222,17.508333333333333,10.95,60
PFOS,Dark_1,0,0.3352599494667908,2.596912401870442,8.6466666666666665,8.55,60
PFOS,Dark_1,0.1,0.5295307146689205,4.101727278436082,8.728571428571428,8.7,60
PFOS,Dark_1,1,0.4994910780983096,3.869041254107883,10.503333333333334,9.9,60
PFOS,Light_2,0,2.324279781409195,18.003793770648855,15.638775510204082,9.1,60
PFOS,Light_2,0.1,2.6744227891083265,20.71598984586828,24.876470588235293,17.2,60
PFOS,Light_2,1,1.859820721704949,14.406109364189453,14.503571428571428,8.7,60
PFOS,Dark_2,0,0.5135490400024667,3.9779337587807206,9.493548387096775,8.8,60
PFOS,Dark_2,0.1,1.0010955223387308,7.75445257196144,9.85576923076923,7.55,60
PFOS,Dark_2,1,0.5048911426370747,3.910869974162048,10.536666666666667,9.3,60
PFOS,Light_3,0,1.8212862502753862,14.10762263198625,14.322000000000001,7.300000000000001,60
PFOS,Light_3,0.1,1.9324439507115099,14.968646477169889,17.433333333333334,11.85,60
PFOS,Light_3,1,2.221934480115098,17.21103047569962,21.485416666666666,14,60
PFOS,Dark_3,0,1.3496186239480865,10.45410090856462,12.0125,9.350000000000001,60
PFOS,Dark_3,0.1,0.6575785128720498,5.093581258354577,9.739583333333334,8.850000000000001,60
PFOS,Dark_3,1,0.3289632076387113,2.5481380493994026,9.494736842105263,9.3,60
