Chemical,Dose,se,sd,mean,median,n
F53B,0,0.6999492691220361,13.280603621974798,12.98177966101695,8.55,360
F53B,0.1,0.4746583835850169,9.006009615735193,12.51867816091954,10.25,360
F53B,1,0.5716447544409535,10.846196619126397,13.089614243323442,9.8,360
OBS,0,0.6999492691220361,13.280603621974798,12.98177966101695,8.55,360
OBS,0.1,0.43864276958303666,8.322661386280936,10.852089136490251,8.9,360
OBS,1,0.521185989584879,9.888808869942077,12.497586206896552,9.55,360
PFOS,0,0.6999492691220361,13.280603621974798,12.98177966101695,8.55,360
PFOS,0.1,0.7440209179184607,14.116804364589118,14.167207792207792,8.8,360
PFOS,1,0.6150924714956268,11.67055908929026,13.775953079178885,9.6,360
